id_venda,id_cliente,id_produto,data,id_origem,origem,tipo_movel,categoria,material,acabamento,medidas,quantidade_modulos,adicionais,valor_total,custo_total,margem_lucro,status,quantidade,pagina,tempo_permanencia,acao,cidade,estado,tipo_cliente
1064,1080,5023,2025-03-20,2,Instagram,padrao,Sala,Madeira Maciça,Natural,1.50x0.45x0.75,3,estante nicho,4630.38,2710.7,1919.68,produzido,1,categoria,690,orcamento,Joinville,SC,corporativo
1065,1204,5007,2025-03-27,2,Instagram,planejado,Sala,MDF,Brilho,1.80x0.45x2.10,4,rack suspenso,14345.2,9583.26,4761.94,aprovado,1,carrinho,268,visualizar,Natal,RN,corporativo
1066,1076,5019,2025-03-20,1,Google,modulado,Home Office,MDP,Branco,2.80x0.60x2.00,7,nenhum,12107.32,6858.66,5248.66,orcamento,1,checkout,632,abandonar,Sao Jose dos Campos,SP,residencial
1067,1090,5006,2025-03-04,3,Direto,planejado,Quarto,Madeira Maciça,Verniz,3.20x0.55x2.40,8,cabideiro extra,42647.35,26679.15,15968.2,orcamento,1,orcamento,563,abandonar,Sao Paulo,SP,residencial
1068,1016,5001,2025-03-22,1,Google,planejado,Cozinha,MDF,Fosco,3.20x0.60x2.10,8,painel ripado,24178.45,13755.82,10422.63,orcamento,1,carrinho,641,orcamento,Uberlandia,MG,residencial
1069,1233,5012,2025-03-14,1,Google,modulado,Cozinha,MDP,Branco,2.40x0.60x1.80,6,painel ripado,10879.78,7160.27,3719.51,orcamento,1,produto,494,visualizar,Niteroi,RJ,residencial
1070,1049,5007,2025-03-31,1,Google,planejado,Sala,MDF,Brilho,3.20x0.45x2.10,8,rack suspenso,23037.86,15243.88,7793.98,orcamento,1,categoria,605,orcamento,Rio de Janeiro,RJ,residencial
1071,1063,5011,2025-03-14,5,WhatsApp,modulado,Cozinha,MDP,Amadeirado,2.40x0.60x1.80,6,nenhum,9782.83,6228.61,3554.22,aprovado,1,produto,599,visualizar,Goiania,GO,corporativo
1072,1143,5013,2025-03-25,4,Facebook,modulado,Cozinha,MDF,Fosco,2.10x0.60x1.80,5,calha de tomada,11206.63,6212.32,4994.31,aprovado,2,produto,215,visualizar,Recife,PE,corporativo
1073,1290,5015,2025-03-01,1,Google,modulado,Quarto,MDP,Fosco,2.10x0.55x2.00,5,porta de correr,7279.14,4343.79,2935.35,entregue,1,orcamento,189,visualizar,Sao Paulo,SP,residencial
1074,1284,5016,2025-03-09,2,Instagram,modulado,Quarto,MDF,Acetinado,1.80x0.55x2.20,4,gaveteiro,7221.17,4526.6,2694.57,orcamento,1,carrinho,569,visualizar,Sao Paulo,SP,residencial
1075,1024,5005,2025-03-07,1,Google,planejado,Quarto,MDF,Amadeirado,1.80x0.55x2.20,4,cabideiro extra,11846.48,7399.4,4447.08,orcamento,1,produto,602,orcamento,Campo Grande,MS,residencial
1076,1182,5002,2025-03-01,2,Instagram,planejado,Cozinha,MDF,Laca,1.20x0.60x2.30,2,calha de tomada,7507.43,4599.46,2907.97,orcamento,1,orcamento,662,visualizar,Goiania,GO,residencial
1077,1186,5002,2025-03-19,2,Instagram,planejado,Cozinha,MDF,Laca,1.20x0.60x2.40,2,painel ripado,7260.13,4841.55,2418.58,orcamento,1,produto,387,visualizar,Fortaleza,CE,residencial
1078,1076,5005,2025-03-05,1,Google,planejado,Quarto,MDF,Amadeirado,1.50x0.55x2.20,3,cabideiro extra,10432.97,6947.6,3485.37,aprovado,1,carrinho,608,orcamento,Sao Jose dos Campos,SP,residencial
1079,1166,5022,2025-03-03,2,Instagram,padrao,Quarto,MDF,Acetinado,1.50x0.55x0.85,3,gaveteiro,3146.2,1948.32,1197.88,orcamento,1,carrinho,122,visualizar,Florianopolis,SC,residencial
